task_number	 question_number	 questionnaire_name	 question_nameeeeeeeeeeeee	 question_response	 attempt	 study_name	 session_id
6	1003	iatselfcog	d	0.07	1	jiang.selfother1	10292678
2	0	realstart	commitrt	31675	1	jiang.selfother1	10292681
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10292681
4	1	selfimages2	si2choose	2	1	jiang.selfother1	10292681
4	1	selfimages2	si2choosert	22146	1	jiang.selfother1	10292681
4	2	selfimages2	si2scale	2	1	jiang.selfother1	10292681
4	2	selfimages2	si2scalert	8798	1	jiang.selfother1	10292681
4	3	selfimages2	si2valNorth	7	1	jiang.selfother1	10292681
4	3	selfimages2	si2valNorthrt	5912	1	jiang.selfother1	10292681
4	4	selfimages2	si2cogaffNorthrt	22593	1	jiang.selfother1	10292681
4	4	selfimages2	si2cogaffNorth	5	1	jiang.selfother1	10292681
4	5	selfimages2	si2valRichrt	7438	1	jiang.selfother1	10292681
4	5	selfimages2	si2valRich	6	1	jiang.selfother1	10292681
4	6	selfimages2	si2cogaffRichrt	9088	1	jiang.selfother1	10292681
4	6	selfimages2	si2cogaffRich	1	1	jiang.selfother1	10292681
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10292681
6	1002	iatselfcog	feedback	Your data suggest a slight automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10292681
6	1003	iatselfcog	d	-0.26	1	jiang.selfother1	10292681
2	0	realstart	commitrt	42299	1	jiang.selfother1	10292683
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10292683
4	1	selfimages1	si1choose	2	1	jiang.selfother1	10292683
4	1	selfimages1	si1choosert	37516	1	jiang.selfother1	10292683
4	2	selfimages1	si1scale	2	1	jiang.selfother1	10292683
4	2	selfimages1	si1scalert	12396	1	jiang.selfother1	10292683
4	3	selfimages1	si1valRich	4	1	jiang.selfother1	10292683
4	3	selfimages1	si1valRichrt	13047	1	jiang.selfother1	10292683
4	4	selfimages1	si1cogaffRichrt	28908	1	jiang.selfother1	10292683
4	4	selfimages1	si1cogaffRich	2	1	jiang.selfother1	10292683
4	5	selfimages1	si1valNorthrt	12985	1	jiang.selfother1	10292683
4	5	selfimages1	si1valNorth	7	1	jiang.selfother1	10292683
4	6	selfimages1	si1cogaffNorthrt	7462	1	jiang.selfother1	10292683
4	6	selfimages1	si1cogaffNorth	1	1	jiang.selfother1	10292683
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10292683
6	1002	iatselfcog	feedback	Your data suggest a strong automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10292683
6	1003	iatselfcog	d	-0.93	1	jiang.selfother1	10292683
2	0	realstart	commitrt	57013	1	jiang.selfother1	10292693
2	0	realstart	commit	if you would like to participate, please type this exact sentence into the box below:	1	jiang.selfother1	10292693
4	1	otherwords1	ow1choosert	28017	1	jiang.selfother1	10292693
4	1	otherwords1	ow1choose	2	1	jiang.selfother1	10292693
4	2	otherwords1	ow1scale	3	1	jiang.selfother1	10292693
4	2	otherwords1	ow1scalert	12174	1	jiang.selfother1	10292693
4	3	otherwords1	ow1valmaple	5	1	jiang.selfother1	10292693
4	3	otherwords1	ow1valmaplert	6174	1	jiang.selfother1	10292693
4	4	otherwords1	ow1cogaffmaplert	20870	1	jiang.selfother1	10292693
4	4	otherwords1	ow1cogaffmaple	5	1	jiang.selfother1	10292693
4	5	otherwords1	ow1valoakrt	8341	1	jiang.selfother1	10292693
4	5	otherwords1	ow1valoak	6	1	jiang.selfother1	10292693
4	6	otherwords1	ow1cogaffoakrt	6431	1	jiang.selfother1	10292693
4	6	otherwords1	ow1cogaffoak	5	1	jiang.selfother1	10292693
2	0	realstart	commitrt	102725	1	jiang.selfother1	10292743
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10292743
4	1	otherimages2	oi2choose	2	1	jiang.selfother1	10292743
4	1	otherimages2	oi2choosert	28768	1	jiang.selfother1	10292743
4	2	otherimages2	oi2scale	2	1	jiang.selfother1	10292743
4	2	otherimages2	oi2scalert	24661	1	jiang.selfother1	10292743
4	3	otherimages2	oi2valNorth	7	1	jiang.selfother1	10292743
4	3	otherimages2	oi2valNorthrt	18023	1	jiang.selfother1	10292743
4	4	otherimages2	oi2cogaffNorth	7	1	jiang.selfother1	10292743
4	4	otherimages2	oi2cogaffNorthrt	31269	1	jiang.selfother1	10292743
4	5	otherimages2	oi2valRich	7	1	jiang.selfother1	10292743
4	5	otherimages2	oi2valRichrt	9970	1	jiang.selfother1	10292743
4	6	otherimages2	oi2cogaffRich	7	1	jiang.selfother1	10292743
4	6	otherimages2	oi2cogaffRichrt	17748	1	jiang.selfother1	10292743
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10292743
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10292743
6	1003	iatselfcog	d	0.13	1	jiang.selfother1	10292743
2	0	realstart	commit	i will complete this study with my full attention	1	jiang.selfother1	10292755
2	0	realstart	commitrt	18548	1	jiang.selfother1	10292755
4	1	selfimages1	si1choosert	55537	1	jiang.selfother1	10292755
4	1	selfimages1	si1choose	2	1	jiang.selfother1	10292755
4	2	selfimages1	si1scale	2	1	jiang.selfother1	10292755
4	2	selfimages1	si1scalert	5326	1	jiang.selfother1	10292755
4	3	selfimages1	si1valRich	5	1	jiang.selfother1	10292755
4	3	selfimages1	si1valRichrt	37050	1	jiang.selfother1	10292755
4	4	selfimages1	si1cogaffRichrt	14174	1	jiang.selfother1	10292755
4	4	selfimages1	si1cogaffRich	7	1	jiang.selfother1	10292755
4	5	selfimages1	si1valNorthrt	19140	1	jiang.selfother1	10292755
4	5	selfimages1	si1valNorth	3	1	jiang.selfother1	10292755
4	6	selfimages1	si1cogaffNorth	7	1	jiang.selfother1	10292755
4	6	selfimages1	si1cogaffNorthrt	6753	1	jiang.selfother1	10292755
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10292755
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10292755
6	1003	iatselfcog	d	0.12	1	jiang.selfother1	10292755
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10292764
2	0	realstart	commitrt	41591	1	jiang.selfother1	10292764
4	1	selfwords2	sw2choose	2	1	jiang.selfother1	10292764
4	1	selfwords2	sw2choosert	56294	1	jiang.selfother1	10292764
4	2	selfwords2	sw2scalert	9491	1	jiang.selfother1	10292764
4	2	selfwords2	sw2scale	3	1	jiang.selfother1	10292764
4	3	selfwords2	sw2valoak	6	1	jiang.selfother1	10292764
4	3	selfwords2	sw2valoakrt	6763	1	jiang.selfother1	10292764
4	4	selfwords2	sw2cogaffoakrt	13387	1	jiang.selfother1	10292764
4	4	selfwords2	sw2cogaffoak	5	1	jiang.selfother1	10292764
4	5	selfwords2	sw2valmaplert	3596	1	jiang.selfother1	10292764
4	5	selfwords2	sw2valmaple	6	1	jiang.selfother1	10292764
4	6	selfwords2	sw2cogaffmaple	5	1	jiang.selfother1	10292764
4	6	selfwords2	sw2cogaffmaplert	6608	1	jiang.selfother1	10292764
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10292764
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10292764
6	1003	iatselfcog	d	-0.50	1	jiang.selfother1	10292764
2	0	realstart	commitrt	23581	1	jiang.selfother1	10292774
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10292774
4	1	selfimages1	si1choose	1	1	jiang.selfother1	10292774
4	1	selfimages1	si1choosert	26504	1	jiang.selfother1	10292774
4	2	selfimages1	si1scalert	10965	1	jiang.selfother1	10292774
4	2	selfimages1	si1scale	5	1	jiang.selfother1	10292774
4	3	selfimages1	si1valRichrt	19319	1	jiang.selfother1	10292774
4	3	selfimages1	si1valRich	6	1	jiang.selfother1	10292774
4	4	selfimages1	si1cogaffRich	5	1	jiang.selfother1	10292774
4	4	selfimages1	si1cogaffRichrt	23112	1	jiang.selfother1	10292774
4	5	selfimages1	si1valNorthrt	9861	1	jiang.selfother1	10292774
4	5	selfimages1	si1valNorth	6	1	jiang.selfother1	10292774
4	6	selfimages1	si1cogaffNorth	6	1	jiang.selfother1	10292774
4	6	selfimages1	si1cogaffNorthrt	6790	1	jiang.selfother1	10292774
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10292774
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10292774
6	1003	iatselfcog	d	-0.37	1	jiang.selfother1	10292774
2	0	realstart	commitrt	23564	1	jiang.selfother1	10292781
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10292781
2	0	realstart	commitrt	18640	1	jiang.selfother1	10292786
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10292786
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10292821
2	0	realstart	commitrt	33315	1	jiang.selfother1	10292821
4	1	otherimages2	oi2choosert	25068	1	jiang.selfother1	10292821
4	1	otherimages2	oi2choose	1	1	jiang.selfother1	10292821
4	2	otherimages2	oi2scale	5	1	jiang.selfother1	10292821
4	2	otherimages2	oi2scalert	8466	1	jiang.selfother1	10292821
4	3	otherimages2	oi2valNorthrt	11206	1	jiang.selfother1	10292821
4	3	otherimages2	oi2valNorth	6	1	jiang.selfother1	10292821
4	4	otherimages2	oi2cogaffNorthrt	22586	1	jiang.selfother1	10292821
4	4	otherimages2	oi2cogaffNorth	6	1	jiang.selfother1	10292821
4	5	otherimages2	oi2valRich	6	1	jiang.selfother1	10292821
4	5	otherimages2	oi2valRichrt	12707	1	jiang.selfother1	10292821
4	6	otherimages2	oi2cogaffRich	6	1	jiang.selfother1	10292821
4	6	otherimages2	oi2cogaffRichrt	13014	1	jiang.selfother1	10292821
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10292821
6	1002	iatselfcog	feedback	Your data suggest a slight automatic association for Other with Feeling and Self with Thinking.	1	jiang.selfother1	10292821
6	1003	iatselfcog	d	0.26	1	jiang.selfother1	10292821
2	0	realstart	commitrt	33205	1	jiang.selfother1	10292829
2	0	realstart	commit	"I will complete this study with my full attention	1	jiang.selfother1	10292829
2	0	realstart	commitrt	25870	1	jiang.selfother1	10292845
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10292845
4	1	otherwords1	ow1choose	1	1	jiang.selfother1	10292845
4	1	otherwords1	ow1choosert	48421	1	jiang.selfother1	10292845
4	2	otherwords1	ow1scalert	9252	1	jiang.selfother1	10292845
4	2	otherwords1	ow1scale	5	1	jiang.selfother1	10292845
4	3	otherwords1	ow1valmaplert	5536	1	jiang.selfother1	10292845
4	3	otherwords1	ow1valmaple	6	1	jiang.selfother1	10292845
4	4	otherwords1	ow1cogaffmaplert	11619	1	jiang.selfother1	10292845
4	4	otherwords1	ow1cogaffmaple	3	1	jiang.selfother1	10292845
4	5	otherwords1	ow1valoakrt	6019	1	jiang.selfother1	10292845
4	5	otherwords1	ow1valoak	4	1	jiang.selfother1	10292845
4	6	otherwords1	ow1cogaffoakrt	4595	1	jiang.selfother1	10292845
4	6	otherwords1	ow1cogaffoak	5	1	jiang.selfother1	10292845
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10292845
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10292845
6	1003	iatselfcog	d	0.01	1	jiang.selfother1	10292845
2	0	realstart	commitrt	27212	1	jiang.selfother1	10292867
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10292867
4	1	otherimages2	oi2choose	1	1	jiang.selfother1	10292867
4	1	otherimages2	oi2choosert	29935	1	jiang.selfother1	10292867
4	2	otherimages2	oi2scalert	6411	1	jiang.selfother1	10292867
4	2	otherimages2	oi2scale	4	1	jiang.selfother1	10292867
4	3	otherimages2	oi2valNorthrt	7568	1	jiang.selfother1	10292867
4	3	otherimages2	oi2valNorth	6	1	jiang.selfother1	10292867
4	4	otherimages2	oi2cogaffNorthrt	14545	1	jiang.selfother1	10292867
4	4	otherimages2	oi2cogaffNorth	7	1	jiang.selfother1	10292867
4	5	otherimages2	oi2valRichrt	4618	1	jiang.selfother1	10292867
4	5	otherimages2	oi2valRich	5	1	jiang.selfother1	10292867
4	6	otherimages2	oi2cogaffRichrt	10832	1	jiang.selfother1	10292867
4	6	otherimages2	oi2cogaffRich	1	1	jiang.selfother1	10292867
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10292867
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Feeling and Self with Thinking.	1	jiang.selfother1	10292867
6	1003	iatselfcog	d	0.46	1	jiang.selfother1	10292867
2	0	realstart	commitrt	31133	1	jiang.selfother1	10292880
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10292880
4	1	selfwords1	sw1choosert	48482	1	jiang.selfother1	10292880
4	1	selfwords1	sw1choose	1	1	jiang.selfother1	10292880
4	2	selfwords1	sw1scalert	7192	1	jiang.selfother1	10292880
4	2	selfwords1	sw1scale	5	1	jiang.selfother1	10292880
4	3	selfwords1	sw1valmaplert	11057	1	jiang.selfother1	10292880
4	3	selfwords1	sw1valmaple	6	1	jiang.selfother1	10292880
4	4	selfwords1	sw1cogaffmaple	7	1	jiang.selfother1	10292880
4	4	selfwords1	sw1cogaffmaplert	15121	1	jiang.selfother1	10292880
4	5	selfwords1	sw1valoakrt	7878	1	jiang.selfother1	10292880
4	5	selfwords1	sw1valoak	5	1	jiang.selfother1	10292880
4	6	selfwords1	sw1cogaffoak	6	1	jiang.selfother1	10292880
4	6	selfwords1	sw1cogaffoakrt	7097	1	jiang.selfother1	10292880
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10292880
6	1002	iatselfcog	feedback	Your data suggest a slight automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10292880
6	1003	iatselfcog	d	-0.29	1	jiang.selfother1	10292880
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10292905
2	0	realstart	commitrt	41335	1	jiang.selfother1	10292905
4	1	otherwords2	ow2choose	2	1	jiang.selfother1	10292905
4	1	otherwords2	ow2choosert	74755	1	jiang.selfother1	10292905
4	2	otherwords2	ow2scalert	12270	1	jiang.selfother1	10292905
4	2	otherwords2	ow2scale	3	1	jiang.selfother1	10292905
4	3	otherwords2	ow2valoak	6	1	jiang.selfother1	10292905
4	3	otherwords2	ow2valoakrt	14259	1	jiang.selfother1	10292905
4	4	otherwords2	ow2cogaffoak	7	1	jiang.selfother1	10292905
4	4	otherwords2	ow2cogaffoakrt	16078	1	jiang.selfother1	10292905
4	5	otherwords2	ow2valmaplert	17110	1	jiang.selfother1	10292905
4	5	otherwords2	ow2valmaple	7	1	jiang.selfother1	10292905
4	6	otherwords2	ow2cogaffmaple	5	1	jiang.selfother1	10292905
4	6	otherwords2	ow2cogaffmaplert	10779	1	jiang.selfother1	10292905
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10292905
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10292905
6	1003	iatselfcog	d	-0.40	1	jiang.selfother1	10292905
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10292906
2	0	realstart	commitrt	25942	1	jiang.selfother1	10292906
4	1	otherwords2	ow2choosert	44820	1	jiang.selfother1	10292906
4	1	otherwords2	ow2choose	1	1	jiang.selfother1	10292906
4	2	otherwords2	ow2scale	5	1	jiang.selfother1	10292906
4	2	otherwords2	ow2scalert	11718	1	jiang.selfother1	10292906
4	3	otherwords2	ow2valoakrt	7161	1	jiang.selfother1	10292906
4	3	otherwords2	ow2valoak	7	1	jiang.selfother1	10292906
4	4	otherwords2	ow2cogaffoak	7	1	jiang.selfother1	10292906
4	4	otherwords2	ow2cogaffoakrt	15380	1	jiang.selfother1	10292906
4	5	otherwords2	ow2valmaple	6	1	jiang.selfother1	10292906
4	5	otherwords2	ow2valmaplert	3539	1	jiang.selfother1	10292906
4	6	otherwords2	ow2cogaffmaplert	11499	1	jiang.selfother1	10292906
4	6	otherwords2	ow2cogaffmaple	5	1	jiang.selfother1	10292906
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10292906
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10292906
6	1003	iatselfcog	d	-0.01	1	jiang.selfother1	10292906
2	0	realstart	commitrt	15302	1	jiang.selfother1	10292936
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10292936
4	1	selfwords1	sw1choosert	90809	1	jiang.selfother1	10292936
4	1	selfwords1	sw1choose	1	1	jiang.selfother1	10292936
4	2	selfwords1	sw1scalert	14734	1	jiang.selfother1	10292936
4	2	selfwords1	sw1scale	4	1	jiang.selfother1	10292936
4	3	selfwords1	sw1valmaplert	15678	1	jiang.selfother1	10292936
4	3	selfwords1	sw1valmaple	6	1	jiang.selfother1	10292936
4	4	selfwords1	sw1cogaffmaplert	45310	1	jiang.selfother1	10292936
4	4	selfwords1	sw1cogaffmaple	2	1	jiang.selfother1	10292936
4	5	selfwords1	sw1valoak	6	1	jiang.selfother1	10292936
4	5	selfwords1	sw1valoakrt	12961	1	jiang.selfother1	10292936
4	6	selfwords1	sw1cogaffoak	7	1	jiang.selfother1	10292936
4	6	selfwords1	sw1cogaffoakrt	3258	1	jiang.selfother1	10292936
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10292936
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10292936
6	1003	iatselfcog	d	-0.39	1	jiang.selfother1	10292936
2	0	realstart	commit	i will complete this study with my full attention	1	jiang.selfother1	10292937
2	0	realstart	commitrt	54065	1	jiang.selfother1	10292937
4	1	selfimages1	si1choosert	19470	1	jiang.selfother1	10292937
4	1	selfimages1	si1choose	1	1	jiang.selfother1	10292937
4	2	selfimages1	si1scalert	5945	1	jiang.selfother1	10292937
4	2	selfimages1	si1scale	5	1	jiang.selfother1	10292937
4	3	selfimages1	si1valRich	6	1	jiang.selfother1	10292937
4	3	selfimages1	si1valRichrt	6126	1	jiang.selfother1	10292937
4	4	selfimages1	si1cogaffRichrt	14079	1	jiang.selfother1	10292937
4	4	selfimages1	si1cogaffRich	6	1	jiang.selfother1	10292937
4	5	selfimages1	si1valNorth	6	1	jiang.selfother1	10292937
4	5	selfimages1	si1valNorthrt	9454	1	jiang.selfother1	10292937
4	6	selfimages1	si1cogaffNorthrt	9057	1	jiang.selfother1	10292937
4	6	selfimages1	si1cogaffNorth	6	1	jiang.selfother1	10292937
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10292937
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10292937
6	1003	iatselfcog	d	-0.48	1	jiang.selfother1	10292937
2	0	realstart	commitrt	40843	1	jiang.selfother1	10292949
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10292949
4	1	otherwords2	ow2choose	2	1	jiang.selfother1	10292949
4	1	otherwords2	ow2choosert	80363	1	jiang.selfother1	10292949
4	2	otherwords2	ow2scale	1	1	jiang.selfother1	10292949
4	2	otherwords2	ow2scalert	14089	1	jiang.selfother1	10292949
4	3	otherwords2	ow2valoak	3	1	jiang.selfother1	10292949
4	3	otherwords2	ow2valoakrt	17284	1	jiang.selfother1	10292949
4	4	otherwords2	ow2cogaffoakrt	53977	1	jiang.selfother1	10292949
4	4	otherwords2	ow2cogaffoak	7	1	jiang.selfother1	10292949
4	5	otherwords2	ow2valmaplert	5559	1	jiang.selfother1	10292949
4	5	otherwords2	ow2valmaple	6	1	jiang.selfother1	10292949
4	6	otherwords2	ow2cogaffmaple	1	1	jiang.selfother1	10292949
4	6	otherwords2	ow2cogaffmaplert	15879	1	jiang.selfother1	10292949
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10292949
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10292949
6	1003	iatselfcog	d	0.08	1	jiang.selfother1	10292949
2	0	realstart	commitrt	24087	1	jiang.selfother1	10292959
2	0	realstart	commit	i will complete this study with my full attention	1	jiang.selfother1	10292959
4	1	selfimages2	si2choosert	45314	1	jiang.selfother1	10292959
4	1	selfimages2	si2choose	1	1	jiang.selfother1	10292959
4	2	selfimages2	si2scalert	8128	1	jiang.selfother1	10292959
4	2	selfimages2	si2scale	4	1	jiang.selfother1	10292959
4	3	selfimages2	si2valNorthrt	8658	1	jiang.selfother1	10292959
4	3	selfimages2	si2valNorth	6	1	jiang.selfother1	10292959
4	4	selfimages2	si2cogaffNorthrt	15863	1	jiang.selfother1	10292959
4	4	selfimages2	si2cogaffNorth	6	1	jiang.selfother1	10292959
4	5	selfimages2	si2valRichrt	9629	1	jiang.selfother1	10292959
4	5	selfimages2	si2valRich	4	1	jiang.selfother1	10292959
4	6	selfimages2	si2cogaffRichrt	15570	1	jiang.selfother1	10292959
4	6	selfimages2	si2cogaffRich	3	1	jiang.selfother1	10292959
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10292959
6	1002	iatselfcog	feedback	Your data suggest a slight automatic association for Other with Feeling and Self with Thinking.	1	jiang.selfother1	10292959
6	1003	iatselfcog	d	0.17	1	jiang.selfother1	10292959
2	0	realstart	commitrt	272719	1	jiang.selfother1	10292976
2	0	realstart	commit	"I will complete this study with my full attention." and press "Submit".	1	jiang.selfother1	10292976
4	1	otherwords1	ow1choosert	124992	1	jiang.selfother1	10292976
4	1	otherwords1	ow1choose	2	1	jiang.selfother1	10292976
4	2	otherwords1	ow1scale	1	1	jiang.selfother1	10292976
4	2	otherwords1	ow1scalert	28877	1	jiang.selfother1	10292976
4	3	otherwords1	ow1valmaple	7	1	jiang.selfother1	10292976
4	3	otherwords1	ow1valmaplert	57807	1	jiang.selfother1	10292976
4	4	otherwords1	ow1cogaffmaplert	35684	1	jiang.selfother1	10292976
4	4	otherwords1	ow1cogaffmaple	6	1	jiang.selfother1	10292976
4	5	otherwords1	ow1valoakrt	7582	1	jiang.selfother1	10292976
4	5	otherwords1	ow1valoak	7	1	jiang.selfother1	10292976
4	6	otherwords1	ow1cogaffoakrt	7370	1	jiang.selfother1	10292976
4	6	otherwords1	ow1cogaffoak	5	1	jiang.selfother1	10292976
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10292976
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10292976
6	1003	iatselfcog	d	0.04	1	jiang.selfother1	10292976
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10292983
2	0	realstart	commitrt	27790	1	jiang.selfother1	10292983
2	0	realstart	commitrt	33925	1	jiang.selfother1	10292999
2	0	realstart	commit	i will complete this study with my full attention.	1	jiang.selfother1	10292999
4	1	selfimages2	si2choosert	27810	1	jiang.selfother1	10292999
4	1	selfimages2	si2choose	1	1	jiang.selfother1	10292999
4	2	selfimages2	si2scalert	7303	1	jiang.selfother1	10292999
4	2	selfimages2	si2scale	5	1	jiang.selfother1	10292999
4	3	selfimages2	si2valNorth	6	1	jiang.selfother1	10292999
4	3	selfimages2	si2valNorthrt	7438	1	jiang.selfother1	10292999
4	4	selfimages2	si2cogaffNorthrt	17354	1	jiang.selfother1	10292999
4	4	selfimages2	si2cogaffNorth	7	1	jiang.selfother1	10292999
4	5	selfimages2	si2valRich	5	1	jiang.selfother1	10292999
4	5	selfimages2	si2valRichrt	15593	1	jiang.selfother1	10292999
4	6	selfimages2	si2cogaffRichrt	11101	1	jiang.selfother1	10292999
4	6	selfimages2	si2cogaffRich	2	1	jiang.selfother1	10292999
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10292999
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10292999
6	1003	iatselfcog	d	-0.47	1	jiang.selfother1	10292999
2	0	realstart	commitrt	13501	1	jiang.selfother1	10293036
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10293036
4	1	otherwords2	ow2choose	2	1	jiang.selfother1	10293036
4	1	otherwords2	ow2choosert	118243	1	jiang.selfother1	10293036
4	2	otherwords2	ow2scalert	8965	1	jiang.selfother1	10293036
4	2	otherwords2	ow2scale	3	1	jiang.selfother1	10293036
4	3	otherwords2	ow2valoakrt	8054	1	jiang.selfother1	10293036
4	3	otherwords2	ow2valoak	7	1	jiang.selfother1	10293036
4	4	otherwords2	ow2cogaffoakrt	19377	1	jiang.selfother1	10293036
4	4	otherwords2	ow2cogaffoak	7	1	jiang.selfother1	10293036
4	5	otherwords2	ow2valmaplert	3756	1	jiang.selfother1	10293036
4	5	otherwords2	ow2valmaple	7	1	jiang.selfother1	10293036
4	6	otherwords2	ow2cogaffmaplert	2422	1	jiang.selfother1	10293036
4	6	otherwords2	ow2cogaffmaple	7	1	jiang.selfother1	10293036
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10293036
6	1002	iatselfcog	feedback	Your data suggest a slight automatic association for Other with Feeling and Self with Thinking.	1	jiang.selfother1	10293036
6	1003	iatselfcog	d	0.35	1	jiang.selfother1	10293036
2	0	realstart	commitrt	42633	1	jiang.selfother1	10293045
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10293045
4	1	selfimages2	si2choose	1	1	jiang.selfother1	10293045
4	1	selfimages2	si2choosert	53150	1	jiang.selfother1	10293045
4	2	selfimages2	si2scale	4	1	jiang.selfother1	10293045
4	2	selfimages2	si2scalert	11673	1	jiang.selfother1	10293045
4	3	selfimages2	si2valNorthrt	16338	1	jiang.selfother1	10293045
4	3	selfimages2	si2valNorth	5	1	jiang.selfother1	10293045
4	4	selfimages2	si2cogaffNorth	7	1	jiang.selfother1	10293045
4	4	selfimages2	si2cogaffNorthrt	24313	1	jiang.selfother1	10293045
4	5	selfimages2	si2valRichrt	10644	1	jiang.selfother1	10293045
4	5	selfimages2	si2valRich	3	1	jiang.selfother1	10293045
4	6	selfimages2	si2cogaffRich	5	1	jiang.selfother1	10293045
4	6	selfimages2	si2cogaffRichrt	8982	1	jiang.selfother1	10293045
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10293045
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10293045
6	1003	iatselfcog	d	-0.08	1	jiang.selfother1	10293045
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10293064
2	0	realstart	commitrt	57268	1	jiang.selfother1	10293064
4	1	selfimages2	si2choose	1	1	jiang.selfother1	10293064
4	1	selfimages2	si2choosert	54155	1	jiang.selfother1	10293064
4	2	selfimages2	si2scalert	14189	1	jiang.selfother1	10293064
4	2	selfimages2	si2scale	4	1	jiang.selfother1	10293064
